indice,Date,Time,QLF5,PLF5
378,9/14/2023,14 09 2023 06:17:00,198.00,14.40
379,9/14/2023,14 09 2023 06:18:00,198.00,13.80
380,9/14/2023,14 09 2023 06:19:00,198.00,13.40
381,9/14/2023,14 09 2023 06:20:00,198.00,13.10
382,9/14/2023,14 09 2023 06:21:00,198.00,13.00
383,9/14/2023,14 09 2023 06:22:00,198.00,12.90
384,9/14/2023,14 09 2023 06:23:00,198.00,13.40
385,9/14/2023,14 09 2023 06:24:00,198.00,13.80
386,9/14/2023,14 09 2023 06:25:00,198.00,13.90
387,9/14/2023,14 09 2023 06:26:00,198.00,13.60
388,9/14/2023,14 09 2023 06:27:00,198.00,13.80
389,9/14/2023,14 09 2023 06:28:00,198.00,14.30
390,9/14/2023,14 09 2023 06:29:00,198.00,14.30
391,9/14/2023,14 09 2023 06:30:00,198.00,14.40
392,9/14/2023,14 09 2023 06:31:00,199.00,13.50
393,9/14/2023,14 09 2023 06:32:00,198.00,12.90
394,9/14/2023,14 09 2023 06:33:00,78.00,13.10
395,9/14/2023,14 09 2023 06:34:00,78.00,12.80
396,9/14/2023,14 09 2023 06:35:00,78.00,13.70
397,9/14/2023,14 09 2023 06:36:00,78.00,13.90
398,9/14/2023,14 09 2023 06:37:00,78.00,14.10
399,9/14/2023,14 09 2023 06:38:00,78.00,14.20
400,9/14/2023,14 09 2023 06:39:00,80.00,13.70
401,9/14/2023,14 09 2023 06:40:00,78.00,13.30
402,9/14/2023,14 09 2023 06:41:00,78.00,13.10
403,9/14/2023,14 09 2023 06:42:00,78.00,13.90
404,9/14/2023,14 09 2023 06:43:00,78.00,13.90
405,9/14/2023,14 09 2023 06:44:00,78.00,14.00
406,9/14/2023,14 09 2023 06:45:00,78.00,14.00
407,9/14/2023,14 09 2023 06:46:00,78.00,13.10
408,9/14/2023,14 09 2023 06:47:00,78.00,13.00
409,9/14/2023,14 09 2023 06:48:00,78.00,13.90
410,9/14/2023,14 09 2023 06:49:00,78.00,14.30
411,9/14/2023,14 09 2023 06:50:00,78.00,14.10
412,9/14/2023,14 09 2023 06:51:00,78.00,14.20
413,9/14/2023,14 09 2023 06:52:00,79.00,14.20
414,9/14/2023,14 09 2023 06:53:00,78.00,14.20
415,9/14/2023,14 09 2023 06:54:00,78.00,14.20
416,9/14/2023,14 09 2023 06:55:00,78.00,14.40
417,9/14/2023,14 09 2023 06:56:00,78.00,14.50
418,9/14/2023,14 09 2023 06:57:00,78.00,14.50
419,9/14/2023,14 09 2023 06:58:00,0.00,14.30
420,9/14/2023,14 09 2023 06:59:00,0.00,14.50
421,9/14/2023,14 09 2023 07:00:00,0.00,14.40
422,9/14/2023,14 09 2023 07:01:00,0.00,14.40
423,9/14/2023,14 09 2023 07:02:00,0.00,14.50
424,9/14/2023,14 09 2023 07:03:00,0.00,14.50
425,9/14/2023,14 09 2023 07:04:00,0.00,14.50
426,9/14/2023,14 09 2023 07:05:00,0.00,14.50
427,9/14/2023,14 09 2023 07:06:00,0.00,14.50
428,9/14/2023,14 09 2023 07:07:00,500.00,14.00
429,9/14/2023,14 09 2023 07:08:00,485.00,14.00
430,9/14/2023,14 09 2023 07:09:00,454.00,14.00
431,9/14/2023,14 09 2023 07:10:00,364.00,14.30
